Mon Feb 08 14:17:42 2016	Price: 669.43
Mon Feb 08 14:17:49 2016	Price: 669.93
Mon Feb 08 14:17:55 2016	Price: 669.52
Mon Feb 08 14:18:01 2016	Price: 669.52
Mon Feb 08 14:18:38 2016	Price: 669.93
Mon Feb 08 14:23:08 2016	Price: 670.56
Mon Feb 08 14:23:18 2016	Price: 670.24
Mon Feb 08 14:23:24 2016	Price: 670.44
Mon Feb 08 14:23:30 2016	Price: 670.18
Mon Feb 08 14:23:37 2016	Price: 670.18
Mon Feb 08 14:23:43 2016	Price: 670.64
Mon Feb 08 14:23:49 2016	Price: 670.44
Mon Feb 08 14:23:56 2016	Price: 670.44
Mon Feb 08 14:24:02 2016	Price: 670.44
Mon Feb 08 14:24:08 2016	Price: 670.80
Mon Feb 08 14:24:15 2016	Price: 670.62
Mon Feb 08 14:24:21 2016	Price: 670.62
Mon Feb 08 14:24:27 2016	Price: 670.62
Mon Feb 08 14:24:34 2016	Price: 670.62
Mon Feb 08 14:24:40 2016	Price: 670.62
Mon Feb 08 14:24:46 2016	Price: 669.79
Mon Feb 08 14:24:52 2016	Price: 670.12
Mon Feb 08 14:24:59 2016	Price: 669.24
Mon Feb 08 14:27:02 2016	Price: 667.49
Mon Feb 08 14:52:45 2016	Price: 681.51
Mon Feb 08 14:52:51 2016	Price: 681.51
Mon Feb 08 14:52:58 2016	Price: 681.75
Mon Feb 08 14:53:04 2016	Price: 681.72
Mon Feb 08 14:53:10 2016	Price: 681.70
Mon Feb 08 14:53:16 2016	Price: 682.14
Mon Feb 08 14:53:23 2016	Price: 682.33
Mon Feb 08 14:53:29 2016	Price: 682.34
Mon Feb 08 14:53:35 2016	Price: 682.74
Mon Feb 08 14:53:42 2016	Price: 682.54
Mon Feb 08 14:53:48 2016	Price: 682.68
Mon Feb 08 14:53:54 2016	Price: 682.86
Mon Feb 08 14:54:00 2016	Price: 682.11
Mon Feb 08 14:54:07 2016	Price: 681.97
Mon Feb 08 14:54:13 2016	Price: 682.19
Mon Feb 08 14:54:19 2016	Price: 682.27
Mon Feb 08 14:54:25 2016	Price: 682.09
Mon Feb 08 14:54:32 2016	Price: 682.33
Mon Feb 08 14:54:38 2016	Price: 682.65
Mon Feb 08 14:54:44 2016	Price: 682.52
Mon Feb 08 14:54:51 2016	Price: 682.50
Mon Feb 08 14:54:57 2016	Price: 682.50
Mon Feb 08 14:55:03 2016	Price: 682.67
Mon Feb 08 14:55:10 2016	Price: 682.55
Mon Feb 08 14:55:34 2016	Price: 683.40
Mon Feb 08 14:55:41 2016	Price: 683.07
Mon Feb 08 14:55:47 2016	Price: 682.77
Mon Feb 08 14:55:53 2016	Price: 683.09
Mon Feb 08 14:55:59 2016	Price: 683.08
Mon Feb 08 14:56:06 2016	Price: 683.08
Mon Feb 08 14:56:12 2016	Price: 683.04
Mon Feb 08 14:56:18 2016	Price: 683.21
